report_date;quantity;volume
01.02.2009;4 967;6 421
01.03.2009;6 089;7 963
01.04.2009;7 486;8 946
01.05.2009;8 153;9 123
01.06.2009;7 819;9 280
01.07.2009;9 217;10 630
01.08.2009;10 470;10 925
01.09.2009;10 227;10 438
01.10.2009;11 945;12 427
01.11.2009;14 560;15 224
01.12.2009;14 443;15 514
01.01.2010;22 628;26 077
01.02.2010;7 354;8 016
01.03.2010;13 473;15 138
01.04.2010;18 968;23 009
01.05.2010;21 527;26 102
01.06.2010;20 393;24 962
01.07.2010;23 909;28 673
01.08.2010;25 707;31 648
01.09.2010;25 545;30 976
01.10.2010;28 140;34 436
01.11.2010;30 506;37 513
01.12.2010;32 276;41 015
01.01.2011;50 415;63 146
01.02.2011;15 135;19 901
01.03.2011;25 286;34 379
01.04.2011;34 329;47 633
01.05.2011;36 771;50 524
01.06.2011;40 274;52 435
01.07.2011;44 008;60 432
01.08.2011;43 154;57 971
01.09.2011;47 393;63 113
01.10.2011;50 726;66 286
01.11.2011;53 243;68 855
01.12.2011;56 295;74 979
01.01.2012;74 044;100 909
01.02.2012;28 243;38 606
01.03.2012;45 006;63 749
01.04.2012;53 501;76 798
01.05.2012;57 763;84 896
01.06.2012;55 118;79 652
01.07.2012;55 237;80 404
01.08.2012;57 674;86 422
01.09.2012;64 117;94 194
01.10.2012;58 576;86 099
01.11.2012;67 784;100 972
01.12.2012;68 042;103 338
01.01.2013;78 989;122 186
01.02.2013;33 580;51 472
01.03.2013;50 182;79 940
01.04.2013;58 305;92 823
01.05.2013;68 883;111 964
01.06.2013;58 502;93 030
01.07.2013;65 758;105 959
01.08.2013;74 677;119 577
01.09.2013;74 432;119 859
01.10.2013;71 780;119 960
01.11.2013;81 543;134 540
01.12.2013;79 856;131 604
01.01.2014;105 677;178 003
01.02.2014;47 662;79 003
01.03.2014;70 039;118 262
01.04.2014;80 195;135 850
01.05.2014;93 670;160 488
01.06.2014;78 243;134 560
01.07.2014;78 354;137 846
01.08.2014;89 882;156 846
01.09.2014;82 829;145 092
01.10.2014;82 897;147 571
01.11.2014;92 814;164 166
01.12.2014;85 187;149 307
01.01.2015;130 292;224 303
01.02.2015;43 016;70 259
01.03.2015;49 036;79 381
01.04.2015;43 110;67 536
01.05.2015;49 269;80 681
01.06.2015;43 765;73 475
01.07.2015;52 244;87 667
01.08.2015;58 072;96 336
01.09.2015;57 635;95 517
01.10.2015;65 035;108 387
01.11.2015;65 525;111 073
01.12.2015;67 485;112 420
01.01.2016;105 227;175 028
01.02.2016;37 145;61 771
01.03.2016;80 227;142 619
01.04.2016;71 077;118 990
01.05.2016;72 676;122 905
01.06.2016;61 578;103 797
01.07.2016;67 382;114 145
01.08.2016;65 134;110 763
01.09.2016;73 055;124 880
01.10.2016;74 279;126 797
01.11.2016;72 174;125 061
01.12.2016;78 337;136 803
01.01.2017;103 457;183 849
01.02.2017;40 039;71 083
01.03.2017;57 787;103 247
01.04.2017;80 508;146 744
01.05.2017;81 662;149 503
01.06.2017;78 769;144 907
01.07.2017;84 717;157 208
01.08.2017;84 384;154 605
01.09.2017;94 354;174 099
01.10.2017;98 414;183 863
01.11.2017;112 708;213 059
01.12.2017;122 290;232 615
01.01.2018;151 308;290 469
01.02.2018;78 043;148 275
01.03.2018;102 654;198 940
01.04.2018;118 702;234 757
01.05.2018;125 300;249 267
01.06.2018;118 115;235 404
01.07.2018;120 538;242 640
01.08.2018;121 759;246 394
01.09.2018;126 222;259 976
01.10.2018;122 021;254 845
01.11.2018;141 250;299 739
01.12.2018;139 969;301 552
01.01.2019;157 236;340 912
01.02.2019;81 054;173 119
01.03.2019;105 570;230 600
01.04.2019;103 614;227 491
01.05.2019;110 319;242 515
01.06.2019;86 917;192 107
01.07.2019;97 804;217 713
01.08.2019;102 801;226 828
01.09.2019;109 793;241 650
01.10.2019;110 650;246 859
01.11.2019;123 816;281 688
01.12.2019;123 018;284 033
01.01.2020;156 603;369 629
01.02.2020;83 515;200 428
01.03.2020;115 629;282 875
01.04.2020;133 129;329 468
01.05.2020;97 453;217 771
01.06.2020;93 129;214 980
01.07.2020;127 032;300 654
01.08.2020;155 588;383 429
01.09.2020;163 914;413 234
01.10.2020;198 747;503 565
01.11.2020;212 287;546 199
01.12.2020;188 503;491 441
01.01.2021;211 564;560 284
01.02.2021;95 057;259 537
01.03.2021;144 983;403 303
01.04.2021;178 113;501 004
01.05.2021;191 425;550 892
01.06.2021;148 464;433 830
01.07.2021;178 720;544 951
01.08.2021;151 422;433 085
01.09.2021;150 792;439 015
01.10.2021;157 713;476 756
01.11.2021;161 784;500 588
